,Unnamed: 0,titre,type,reference,departement,date,lien,departement nb,Categorie
27,27,CAIOM Tremplin Directeur des sécurités,Fonction publique de l'État,MINT_051ATK0001-75796,Marne (51),2024-01-05,https://choisirleservicepublic.gouv.fr/offre-emploi/caiom-tremplin-directeur-des-securites-reference-MINT_051ATK0001-75796/,51.0,A+
28,28,Infirmiers en psychiatrie adulte -,Fonction publique Hospitalière,2024-1438979,Haut Rhin (68),2024-01-04,https://choisirleservicepublic.gouv.fr/offre-emploi/infirmiers-en-psychiatrie-adulte----reference-2024-1438979/,68.0,A+
29,29,PSYCHOLOGUE H/F H/F,Fonction publique Hospitalière,2024-1438778,Grand Est,2024-01-04,https://choisirleservicepublic.gouv.fr/offre-emploi/psychologue-hf-hf-reference-2024-1438778/,,A+
30,30,Directeur-adjoint des AD de la Moselle H/F,Fonction publique de l'État,2023-1410554,Moselle (57),2024-01-04,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-adjoint-des-ad-de-la-moselle-hf-reference-2023-1410554/,57.0,A+
31,31,Directeur des finances et des affaires juridiques (H/F) - DEPARTEMENT DE LA MEUSE,Fonction publique Territoriale,O055230300985738,Meuse (55),2024-01-04,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-des-finances-et-des-affaires-juridiques-hf---departement-de-la-meuse-reference-O055230300985738/,55.0,A+
32,32,Chef-fe du service Connaissance et patrimoines H/F,Fonction publique de l'État,2024-1438144,Haute-Marne (52),2024-01-03,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-fe-du-service-connaissance-et-patrimoines-hf-reference-2024-1438144/,52.0,A+
33,33,Une ou un Directeur Général Adjoint Attractivité F/H - COLLECTIVITE EUROPEENNE D'ALSACE,Fonction publique Territoriale,O067240101310051,Bas Rhin (67),2024-01-03,https://choisirleservicepublic.gouv.fr/offre-emploi/une-ou-un-directeur-general-adjoint-attractivite-fh---collectivite-europeenne-d-alsace-reference-O067240101310051/,67.0,A+
34,34,Adjoint à la secrétaire générale d'académie - directeur des ressources humaines - Académie de Nancy-Metz,Fonction publique de l'État,2023-1436633,Meurthe et Moselle (54),2024-01-02,https://choisirleservicepublic.gouv.fr/offre-emploi/adjoint-a-la-secretaire-generale-d-academie---directeur-des-ressources-humaines---academie-de-nancy-metz-reference-2023-1436633/,54.0,A+
35,35,Directeur de l'Aménagement (H/F)  - METZ METROPOLE,Fonction publique Territoriale,O057240101309551,Moselle (57),2024-01-02,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-de-l-amenagement-hf----metz-metropole-reference-O057240101309551/,57.0,A+
36,36,Directeur départemental interministériel (DDETS du Bas-Rhin) H/F,Fonction publique de l'État,MINT_MINT-DDETS67-2023-78162,Bas Rhin (67),2023-12-29,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-departemental-interministeriel-ddets-du-bas-rhin-hf-reference-MINT_MINT-DDETS67-2023-78162/,67.0,A+
37,37,Responsable Qualité et Gestion des Risques H/F,Fonction publique Hospitalière,2023-1383597,Meurthe et Moselle (54),2023-12-27,https://choisirleservicepublic.gouv.fr/offre-emploi/responsable-qualite-et-gestion-des-risques-hf-reference-2023-1383597/,54.0,A+
38,38,CAIOM Directeur(trice) de la citoyenneté et de la légalité,Fonction publique de l'État,MINT_088ATK0002-78180,Vosges (88),2023-12-27,https://choisirleservicepublic.gouv.fr/offre-emploi/caiom-directeurtrice-de-la-citoyennete-et-de-la-legalite-reference-MINT_088ATK0002-78180/,88.0,A+
39,39,Responsable du pôle animation du réseau H/F,Fonction publique de l'État,MEF_2023-14706,Moselle (57),2023-12-26,https://choisirleservicepublic.gouv.fr/offre-emploi/responsable-du-pole-animation-du-reseau-hf-reference-MEF_2023-14706/,57.0,A+
40,40,Directeur de la Lecture Publique - COMMUNAUTE D'AGGLOMERATION DE SAINT-DIE-DES-VOSGES,Fonction publique Territoriale,O088231101252424,Vosges (88),2023-12-26,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-de-la-lecture-publique---communaute-d-agglomeration-de-saint-die-des-vosges-reference-O088231101252424/,88.0,A+
41,41,MANIPULATEUR 5TRICE° EN RADIOLOGIE MEDICALE H/F,Fonction publique Hospitalière,2023-1432797,Grand Est,2023-12-22,https://choisirleservicepublic.gouv.fr/offre-emploi/manipulateur-5trice-en-radiologie-medicale-hf-reference-2023-1432797/,,A+
42,42,Directeur départemental interministériel adjoint (DDETSPP de l'Aube) H/F,Fonction publique de l'État,MINT_MINT-DDETSPPA10-2023-77849,Aube (10),2023-12-22,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-departemental-interministeriel-adjoint-ddetspp-de-l-aube-hf-reference-MINT_MINT-DDETSPPA10-2023-77849/,10.0,A+
43,43,Directeur (rice) Adjoint(e) H/F,Fonction publique de l'État,2023-1432735,Bas Rhin (67),2023-12-22,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-rice-adjointe-hf-reference-2023-1432735/,67.0,A+
44,44,DIRECTEUR-DIRECTRICE DE L'EAU ET DES RISQUES ENVIRONNEMENTAUX - EUROMETROPOLE DE STRASBOURG,Fonction publique Territoriale,O067231201302526,Bas Rhin (67),2023-12-22,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-directrice-de-l-eau-et-des-risques-environnementaux---eurometropole-de-strasbourg-reference-O067231201302526/,67.0,A+
45,45,ATTACHE (E) D'ADMINISTRATION HOSPITALIERE H/F,Fonction publique Hospitalière,2023-1428715,Grand Est,2023-12-19,https://choisirleservicepublic.gouv.fr/offre-emploi/attache-e-d-administration-hospitaliere-hf-reference-2023-1428715/,,A+
46,46,ACCOMPAGNANTE / ACCOMPAGNANT EDUCATIF ET SOCIAL H/F,Fonction publique Hospitalière,2023-1424912,Grand Est,2023-12-15,https://choisirleservicepublic.gouv.fr/offre-emploi/accompagnante--accompagnant-educatif-et-social-hf-reference-2023-1424912/,,A+
47,47,Dr-Drice de projet - Programme « Villages d'avenir,Fonction publique de l'État,2023-1422527,Meuse (55),2023-12-13,https://choisirleservicepublic.gouv.fr/offre-emploi/dr-drice-de-projet---programme--villages-d-avenir--reference-2023-1422527/,55.0,A+
48,48,Médecin spécialiste en ORL H/F,Fonction publique Hospitalière,2023-1421513,Meuse (55),2023-12-12,https://choisirleservicepublic.gouv.fr/offre-emploi/medecin-specialiste-en-orl-hf-reference-2023-1421513/,55.0,A+
49,49,CAIOM - Secrétaire général(e) de la sous-préfecture de Reims,Fonction publique de l'État,MINT_051ATK0004-77648,Marne (51),2023-12-12,https://choisirleservicepublic.gouv.fr/offre-emploi/caiom---secretaire-generale-de-la-sous-prefecture-de-reims-reference-MINT_051ATK0004-77648/,51.0,A+
50,50,Directeur(trice) adjoint(e) ingénierie,Fonction publique de l'État,2023-1421318,Meurthe et Moselle (54),2023-12-12,https://choisirleservicepublic.gouv.fr/offre-emploi/directeurtrice-adjointe-ingenierie-reference-2023-1421318/,54.0,A+
51,51,Conservateur.trice régional.e de l'archéologie adjoint – Site de Châlons-en-Champagne  (RIFSEEP2),Fonction publique de l'État,2023-1418137,Marne (51),2023-12-09,https://choisirleservicepublic.gouv.fr/offre-emploi/conservateurtrice-regionale-de-l-archeologie-adjoint--site-de-chalons-en-champagne--rifseep2-reference-2023-1418137/,51.0,A+
52,52,CADRE DE SANTE (H/F) H/F,Fonction publique Hospitalière,2023-1415745,Grand Est,2023-12-06,https://choisirleservicepublic.gouv.fr/offre-emploi/cadre-de-sante-hf-hf-reference-2023-1415745/,,A+
53,53,TECHNICIEN (NE) DE LABORATOIRE H/F,Fonction publique Hospitalière,2023-1415700,Grand Est,2023-12-06,https://choisirleservicepublic.gouv.fr/offre-emploi/technicien-ne-de-laboratoire-hf-reference-2023-1415700/,,A+
54,54,Directeur/Directrice de l'agence territoriale Vosges Montagne,Fonction publique de l'État,2023-1412886,Vosges (88),2023-12-04,https://choisirleservicepublic.gouv.fr/offre-emploi/directeurdirectrice-de-l-agence-territoriale-vosges-montagne-reference-2023-1412886/,88.0,A+
55,55,"AUE - Adjoint/e à la cheffe de l'UDAP du Bas-Rhin - DRAC Grand-Est, site de Strasbourg H/F",Fonction publique de l'État,2023-1316472,Bas Rhin (67),2023-12-04,https://choisirleservicepublic.gouv.fr/offre-emploi/aue---adjointe-a-la-cheffe-de-l-udap-du-bas-rhin---drac-grand-est-site-de-strasbourg-hf-reference-2023-1316472/,67.0,A+
56,56,Infirmier(e) à l'unité 6 soins protégés (U6SP) H/F,Fonction publique Hospitalière,2023-1411650,Meurthe et Moselle (54),2023-12-01,https://choisirleservicepublic.gouv.fr/offre-emploi/infirmiere-a-l-unite-6-soins-proteges-u6sp-hf-reference-2023-1411650/,54.0,A+
57,57,Responsable de l'UMR Silva et du développement de projets aux interfaces recherche formation innovat H/F,Fonction publique de l'État,2023-1410366,Grand Est,2023-11-30,https://choisirleservicepublic.gouv.fr/offre-emploi/responsable-de-l-umr-silva-et-du-developpement-de-projets-aux-interfaces-recherche-formation-innovat-hf-reference-2023-1410366/,,A+
58,58,"Responsable de Service au sein de la Direction de la Stratégie, de l'innovation et de la Communicati H/F",Fonction publique Hospitalière,2023-1410522,Meurthe et Moselle (54),2023-11-30,https://choisirleservicepublic.gouv.fr/offre-emploi/responsable-de-service-au-sein-de-la-direction-de-la-strategie-de-l-innovation-et-de-la-communicati-hf-reference-2023-1410522/,54.0,A+
59,59,INFIRMIERS (H/F) H/F,Fonction publique Hospitalière,2023-1410516,Grand Est,2023-11-30,https://choisirleservicepublic.gouv.fr/offre-emploi/infirmiers-hf-hf-reference-2023-1410516/,,A+
60,60,Directrice-directeur E.R.E.A.  - Briey,Fonction publique de l'État,2023-1408072,Meurthe et Moselle (54),2023-11-30,https://choisirleservicepublic.gouv.fr/offre-emploi/directrice-directeur-erea----briey-reference-2023-1408072/,54.0,A+
61,61,Cheffe-chef de pôle de qualification d'applications du DPN de Nancy - IGR,Fonction publique de l'État,2023-1397986,Meurthe et Moselle (54),2023-11-29,https://choisirleservicepublic.gouv.fr/offre-emploi/cheffe-chef-de-pole-de-qualification-d-applications-du-dpn-de-nancy---igr-reference-2023-1397986/,54.0,A+
62,62,Principale - principal du collège REP+ Robert Schuman de Hombourg-Haut,Fonction publique de l'État,2023-1408110,Moselle (57),2023-11-29,https://choisirleservicepublic.gouv.fr/offre-emploi/principale---principal-du-college-rep-robert-schuman-de-hombourg-haut-reference-2023-1408110/,57.0,A+
63,63,INFIRMIER (ERE) H/F,Fonction publique Hospitalière,2023-1408061,Grand Est,2023-11-28,https://choisirleservicepublic.gouv.fr/offre-emploi/infirmier-ere-hf-reference-2023-1408061/,,A+
64,64,INFIRMIER (ERE) ANESTHESISTE DE 1ER GRADE H/F,Fonction publique Hospitalière,2023-1325181,Grand Est,2023-11-28,https://choisirleservicepublic.gouv.fr/offre-emploi/infirmier-ere-anesthesiste-de-1er-grade-hf-reference-2023-1325181/,,A+
65,65,SAGE-FEMME (H/F) H/F,Fonction publique Hospitalière,2023-1407986,Grand Est,2023-11-28,https://choisirleservicepublic.gouv.fr/offre-emploi/sage-femme-hf-hf-reference-2023-1407986/,,A+
66,66,Principal du Collège de Bourtzwiller REP+ de Mulhouse,Fonction publique de l'État,2023-1406832,Bas Rhin (67),2023-11-27,https://choisirleservicepublic.gouv.fr/offre-emploi/principal-du-college-de-bourtzwiller-rep-de-mulhouse-reference-2023-1406832/,67.0,A+
67,67,Principal Adjoint du collège de Bourtzwiller - Mulhouse,Fonction publique de l'État,2023-1406829,Haut Rhin (68),2023-11-27,https://choisirleservicepublic.gouv.fr/offre-emploi/principal-adjoint-du-college-de-bourtzwiller---mulhouse-reference-2023-1406829/,68.0,A+
68,68,CAOIM - Directeur(trice) de la citoyenneté et de la légalité,Fonction publique de l'État,MINT_052ATK0003-66917,Haute-Marne (52),2023-11-24,https://choisirleservicepublic.gouv.fr/offre-emploi/caoim---directeurtrice-de-la-citoyennete-et-de-la-legalite-reference-MINT_052ATK0003-66917/,52.0,A+
69,69,Principal adjoint du Collège Jean-Macé de Mulhouse,Fonction publique de l'État,2023-1405662,Bas Rhin (67),2023-11-24,https://choisirleservicepublic.gouv.fr/offre-emploi/principal-adjoint-du-college-jean-mace-de-mulhouse-reference-2023-1405662/,67.0,A+
70,70,Principal du Collège Molière REP+ de Colmar,Fonction publique de l'État,2023-1405644,Bas Rhin (67),2023-11-24,https://choisirleservicepublic.gouv.fr/offre-emploi/principal-du-college-moliere-rep-de-colmar-reference-2023-1405644/,67.0,A+
71,71,Principal adjoint du Collège Erasme de Strasbourg,Fonction publique de l'État,2023-1405627,Bas Rhin (67),2023-11-24,https://choisirleservicepublic.gouv.fr/offre-emploi/principal-adjoint-du-college-erasme-de-strasbourg-reference-2023-1405627/,67.0,A+
72,72,Principal Adjoint du Collège Hans Arp de Strasbourg,Fonction publique de l'État,2023-1405611,Bas Rhin (67),2023-11-24,https://choisirleservicepublic.gouv.fr/offre-emploi/principal-adjoint-du-college-hans-arp-de-strasbourg-reference-2023-1405611/,67.0,A+
73,73,Principal du collège Hans Arp de  Strasbourg,Fonction publique de l'État,2023-1405588,Bas Rhin (67),2023-11-24,https://choisirleservicepublic.gouv.fr/offre-emploi/principal-du-college-hans-arp-de--strasbourg-reference-2023-1405588/,67.0,A+
74,74,Principal Adjoint du collège REP+  Kennedy de Mulhouse,Fonction publique de l'État,2023-1405584,Haut Rhin (68),2023-11-24,https://choisirleservicepublic.gouv.fr/offre-emploi/principal-adjoint-du-college-rep--kennedy-de-mulhouse-reference-2023-1405584/,68.0,A+
75,75,Principal Adjoint du collège Lezay Marnésia de Strasbourg,Fonction publique de l'État,2023-1405580,Bas Rhin (67),2023-11-24,https://choisirleservicepublic.gouv.fr/offre-emploi/principal-adjoint-du-college-lezay-marnesia-de-strasbourg--reference-2023-1405580/,67.0,A+
76,76,Principal du collège Lezay Marnésia de Strasbourg,Fonction publique de l'État,2023-1405571,Bas Rhin (67),2023-11-24,https://choisirleservicepublic.gouv.fr/offre-emploi/principal-du-college-lezay-marnesia-de-strasbourg--reference-2023-1405571/,67.0,A+
77,77,Principal-adjoint du collège François Truffaut de Strasbourg,Fonction publique de l'État,2023-1405562,Bas Rhin (67),2023-11-24,https://choisirleservicepublic.gouv.fr/offre-emploi/principal-adjoint-du-college-francois-truffaut-de-strasbourg-reference-2023-1405562/,67.0,A+
78,78,Principal du collège François Truffaut de Strasbourg,Fonction publique de l'État,2023-1405534,Bas Rhin (67),2023-11-24,https://choisirleservicepublic.gouv.fr/offre-emploi/principal-du-college-francois-truffaut-de-strasbourg-reference-2023-1405534/,67.0,A+
79,79,PSYCHOLOGUE NEUFCHATEAU H/F,Fonction publique Hospitalière,2023-1403069,Vosges (88),2023-11-22,https://choisirleservicepublic.gouv.fr/offre-emploi/psychologue-neufchateau-hf-reference-2023-1403069/,88.0,A+
80,80,PSYCHOLOGUE H/F,Fonction publique Hospitalière,2023-1402035,Vosges (88),2023-11-22,https://choisirleservicepublic.gouv.fr/offre-emploi/psychologue-hf-reference-2023-1402035/,88.0,A+
81,81,PSYCHOLOGUE DEODATIE H/F,Fonction publique Hospitalière,2023-1402048,Vosges (88),2023-11-22,https://choisirleservicepublic.gouv.fr/offre-emploi/psychologue-deodatie-hf-reference-2023-1402048/,88.0,A+
82,82,INFIRMIER EN PRATIQUE AVANCEE H/F,Fonction publique Hospitalière,2023-1402053,Vosges (88),2023-11-22,https://choisirleservicepublic.gouv.fr/offre-emploi/infirmier-en-pratique-avancee-hf-reference-2023-1402053/,88.0,A+
83,83,Adjoint.e au chef du service STECCLA 08-002,Fonction publique de l'État,2023-1402114,Marne (51),2023-11-21,https://choisirleservicepublic.gouv.fr/offre-emploi/adjointe-au-chef-du-service-steccla-08-002-reference-2023-1402114/,51.0,A+
84,84,Responsable du pôle Espaces naturels Est 05-084,Fonction publique de l'État,2023-1401994,Bas Rhin (67),2023-11-21,https://choisirleservicepublic.gouv.fr/offre-emploi/responsable-du-pole-espaces-naturels-est-05-084-reference-2023-1401994/,67.0,A+
85,85,NEUROPSYCHOLOGUE H/F,Fonction publique Hospitalière,2023-1137120,Vosges (88),2023-11-20,https://choisirleservicepublic.gouv.fr/offre-emploi/neuropsychologue-hf-reference-2023-1137120/,88.0,A+
86,86,INFIRMIER(E) H/F,Fonction publique Hospitalière,2023-1137055,Vosges (88),2023-11-20,https://choisirleservicepublic.gouv.fr/offre-emploi/infirmiere-hf-reference-2023-1137055/,88.0,A+
87,87,Psychologue CLIP H/F,Fonction publique Hospitalière,2023-1399389,Meurthe et Moselle (54),2023-11-17,https://choisirleservicepublic.gouv.fr/offre-emploi/psychologue-clip-hf-reference-2023-1399389/,54.0,A+
88,88,CAIOM Directrice  / Directeur du Secrétariat général commun départemental,Fonction publique de l'État,MINT_052ATK0002-76471,Haute-Marne (52),2023-11-16,https://choisirleservicepublic.gouv.fr/offre-emploi/caiom-directrice---directeur-du-secretariat-general-commun-departemental-reference-MINT_052ATK0002-76471/,52.0,A+
89,89,DIRECTEUR ADJOINT AU DIRECTEUR DU POLE TRAVAIL H/F,Fonction publique Hospitalière,2023-1396672,Haut Rhin (68),2023-11-15,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-adjoint-au-directeur-du-pole-travail-hf-reference-2023-1396672/,68.0,A+
90,90,Directeur général des Hôpitaux Universitaires de Strasbourg,Fonction publique Hospitalière,2023-1379996,Bas Rhin (67),2023-10-27,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-general-des-hopitaux-universitaires-de-strasbourg-reference-2023-1379996/,67.0,A+
91,91,Neuropsychologue à l'hôpital de jour addictologie H/F,Fonction publique Hospitalière,2023-1378697,Meurthe et Moselle (54),2023-10-26,https://choisirleservicepublic.gouv.fr/offre-emploi/neuropsychologue-a-l-hopital-de-jour-addictologie-hf-reference-2023-1378697/,54.0,A+
92,92,Directeur Général des Services Adjoint (F/H),Fonction publique de l'État,2023-1323215,Haut Rhin (68),2023-10-26,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-general-des-services-adjoint-fh-reference-2023-1323215/,68.0,A+
93,93,DIRECTEUR DE l'INSTITUT NATIONAL DE JEUNES SOURDS DE METZ (H/F),Fonction publique de l'État,2023-1378553,Moselle (57),2023-10-26,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-de-l-institut-national-de-jeunes-sourds-de-metz-hf-reference-2023-1378553/,57.0,A+
94,94,Médecin du travail,Fonction publique de l'État,2023-1376123,Meurthe et Moselle (54),2023-10-24,https://choisirleservicepublic.gouv.fr/offre-emploi/medecin-du-travail-reference-2023-1376123/,54.0,A+
95,95,Infirmier(e) au CMP/CATTP Toul H/F,Fonction publique Hospitalière,2023-1374653,Meurthe et Moselle (54),2023-10-23,https://choisirleservicepublic.gouv.fr/offre-emploi/infirmiere-au-cmpcattp-toul-hf-reference-2023-1374653/,54.0,A+
96,96,Directeur de cabinet du recteur de Strasbourg - académie de Strasbourg,Fonction publique de l'État,2023-1373150,Bas Rhin (67),2023-10-20,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-de-cabinet-du-recteur-de-strasbourg---academie-de-strasbourg-reference-2023-1373150/,67.0,A+
97,97,INFIRMIER (ERE) H/F,Fonction publique Hospitalière,2023-1372074,Grand Est,2023-10-19,https://choisirleservicepublic.gouv.fr/offre-emploi/infirmier-ere-hf-reference-2023-1372074/,,A+
98,98,PREPARATEUR (TRICE) EN PHARMACIE H/F,Fonction publique Hospitalière,2023-1371944,Grand Est,2023-10-19,https://choisirleservicepublic.gouv.fr/offre-emploi/preparateur-trice-en-pharmacie-hf-reference-2023-1371944/,,A+
99,99,Secrétaire Général Direction régionale Grand Est H/F,Fonction publique de l'État,2023-1369422,Moselle (57),2023-10-17,https://choisirleservicepublic.gouv.fr/offre-emploi/secretaire-general-direction-regionale-grand-est-hf-reference-2023-1369422/,57.0,A+
